no,code,district,road,location,type,lat,long,folder_url
174,TNS 174,บางพลัด,บรมราชชนนี,ปากซอยบรมราชชนนี 4,Type B2,13.781769,100.474117,
175,TNS 175,บางพลัด,บรมราชชนนี,หน้าโรงภาพยนตร์ Major สาขาปิ่นเกล้า,Type B2,13.777977,100.477721,
176,TNS 176,บางพลัด,บรมราชชนนี,หน้าโรงภาพยนตร์ Major สาขาปิ่นเกล้า,Type B2,13.705114,100.505697,
177,TNS 177,บางพลัด,บรมราชชนนี,ตรงข้ามห้างสรรพสินค้าโลตัสสาขาปิ่นเกล้า,Type B2,13.779719,100.478891,
178,TNS 178,บางพลัด,บรมราชชนนี,หน้าคอนโดลุมพีพีเลส โครงการ 1,Type B2,13.77526,100.480581,
179,TNS 179,บางพลัด,สิรินธร,ตรงข้าม รพ.ชัยตึก,Type B2,13.787922,100.484635,
180,TNS 180,บางพลัด,สิรินธร,หน้าห้างสรรพสินค้าตั้งตั้งเสิ้ง ธนบุรี,Type B2,13.788306,100.482927,
181,TNS 181,บางพลัด,สิรินธร,หน้าห้างสรรพสินค้าตั้งตั้งเสิ้ง ธนบุรี,Type B2,13.788471,100.482881,
182,TNS 182,บางพลัด,สิรินธร,หน้ากรุงเทพเมืองแก้ว,Type B2,13.693445,100.500631,
183,TNS 183,บางพลัด,ราชพฤกษ์,ซอยราชพฤกษ์ 6,Type B2,13.7294311,100.452891,
184,TNS 184,บางพลัด,สิรินธร,ปากซอยสิริธร 2,Type B2,13.79038,100.478078,
185,TNS 185,บางพลัด,อรุณอมรินทร์,ตรงข้ามวัดอมรินทร์,Type B2,13.771596,100.493001,
186,TNS 186,บางพลัด,อรุณอมรินทร์,หน้าวัดอมรตีริ,Type B2,13.772748,100.489793,
187,TNS 187,บางพลัด,อรุณอมรินทร์,ใต้สะพานพระราม 8 (ฝั่งธนบุรี) หน้าอาคารสยามรัฐ,Type B2,13.771345,100.493359,
188,TNS 188,บางพลัด,อรุณอมรินทร์,ใต้สะพานพระราม 8 (ฝั่งธนบุรี) หน้าร้าน Take A View,Type B2,13.771413,100.492414,
189,TNS 189,บางพลัด,บรมราชชนนี,หน้าคอนโดลุมพีพีเลฟ (ทีโอพีเลฟมือบ),Type B,13.78048,100.4754,
190,TNS 190,บางพลัด,ถนนจรัญฯ,ก่อนซอยจรัญฯ 49,Type B,13.77482,100.483032,
191,TNS 191,บางพลัด,ถนนจรัญฯ,ก่อนซอยจรัญฯ 40,Type B,13.775296,100.483422,
192,TNS 192,บางพลัด,ถนนจรัญฯ,หน้าโรงเรียนบดินทรวิฑิตพทยาคาร,ลอนโค้ง,13.810251,100.512815,
193,TNS 193,บางพลัด,ถนนจรัญฯ,หน้าโรงเรียนบดินทรวิฑิตพทยาคาร,ลอนโค้ง,13.810206,100.512828,
194,TNS 194,ภาษีเจริญ,เพชรเกษม,ตรงข้ามโรงพยาบาลโรคกุ้มไนท์ (ตรงข้าม ซ.เพชรเกษม 31/3) 1/2,Type A,13.7145623,100.442147,
195,TNS 195,ภาษีเจริญ,เพชรเกษม,หน้าโรงพยาบาลบาลโรคกุ้มไนท์ (ก่อนถึง ซ.เพชรเกษม 31/3),Type A,13.7144875,100.442611,
196,TNS 196,ภาษีเจริญ,เพชรเกษม,ข้างซ.เพชรเกษม 38 (ทางไปมหาวิทยาลัยอยุธยา),Type A,13.717801,100.452081,
197,TNS 197,ภาษีเจริญ,เพชรเกษม,"ตรงข้ามชุมชนสีโลยสัทพ์ บางแค (ซ.เพชรเกษม 25/1, มาจากปั๊มน้ำมัน Caltex)",Type A,13.721711,100.459519,
198,TNS 198,ภาษีเจริญ,เพชรเกษม,ตรงข้ามธนาคารกรุงเทพ สาขาทำพระ (มาจากโรงพยาบาลบาลพระจุลจอมเกล้า 3),Type A,13.723416,100.462836,
199,TNS 199,ภาษีเจริญ,เพชรเกษม,ข้าง ซอย 26,Type A,13.722421,100.460988,
200,TNS 200,ภาษีเจริญ,เพชรเกษม,เยื้องปั๊มน้ำมันบปทท. ข้าง ซ.เพชรเกษม 32,Type A,13.72186,100.459979,
201,TNS 201,ภาษีเจริญ,เพชรเกษม,ข้างซ.เพชรเกษม 36 (มาจากมหาวิทยาลัยสยาม),Type A,13.719663,100.455419,
202,TNS 202,ภาษีเจริญ,เพชรเกษม,ตรงข้ามมหาวิทยาลัยสยาม (ใกล้ซอย 27),Type A,13.718663,100.454366,
203,TNS 203,ภาษีเจริญ,เพชรเกษม,หน้ามหาวิทยาลัยสยาม,Type A,13.718387,100.453809,
204,TNS 204,ภาษีเจริญ,เพชรเกษม,ข้าง ซอยเพชรเกษม 27/1,Type A,13.717373,100.452735,
205,TNS 205,ภาษีเจริญ,เพชรเกษม,ข้าง ซอยเพชรเกษม 44,Type A,13.7171,100.44997,
206,TNS 206,ภาษีเจริญ,เพชรเกษม,ข้างศาลาเจ้าพ่อเสือ,Type A,13.716215,100.447087,
207,TNS 207,ภาษีเจริญ,เพชรเกษม,ข้างซ.เพชรเกษม 31/1,Type A,13.715128,100.444736,
208,TNS 208,ภาษีเจริญ,เพชรเกษม,หน้าร้านไก่ฟ้านักนา (ข้างซอยเพชรเกษม 46/3),Type A,13.715406,100.444616,
209,TNS 209,ภาษีเจริญ,เพชรเกษม,"ข้าง ซ. 50/4, ห้องสมุดภาษีเจริญ",Type A,13.714044,100.437788,
210,TNS 210,ภาษีเจริญ,เพชรเกษม,"หน้าสหกรณ์ชาด 11, ใกล้ซ.เพชรเกษม 33/8, ใกล้คาร์ฟู",Type A,13.712631,100.43602,
211,TNS 211,ภาษีเจริญ,เพชรเกษม,ตรงข้ามโรงพยาบาลโรคกุ้มไนท์ (ตรงข้าม ซ.เพชรเกษม 31/3) 2/2,Type A,13.7145786,100.442195,
212,TNS 212,ภาษีเจริญ,เพชรเกษม,ข้างซ.เพชรเกษม 58 (ใกล้ปั๊มน้ำมันบางจาก),Type A,13.712683,100.431205,
213,TNS 213,ภาษีเจริญ,เพชรเกษม,ตรงข้ามสหกรณ์ที่ 11,Type A,13.71286,100.43574,
214,TNS 214,ภาษีเจริญ,เพชรเกษม,หน้า ธ.กสิกรไทย สาขาบางแวก,Type A,13.712393,100.427008,
215,TNS 215,ภาษีเจริญ,เพชรเกษม,หน้าตลาดตลาดบางแวก (ร้าน 7- eleven),Type A,13.712249,100.426958,
216,TNS 216,ภาษีเจริญ,เพชรเกษม,หน้าธนาคารกรุงไทย สาขา เพชรเกษม ระหว่าง ซอยเพชรเกษม 37 และซอยเพชรเกษม 39 ),Type A,13.712386,100.430246,
217,TNS 217,ภาษีเจริญ,เพชรเกษม,หน้าหลักกองพลาส ( ตรงข้ามแยกตลาดบางแวก ),Type A,13.71069,100.409695,
218,TNS 218,ภาษีเจริญ,เพชรเกษม,ข้างธนาคารกรุงเทพ ตรงข้ามซ.เพชรเกษม 46,Type A,13.7161695,100.447947,
219,TNS 219,ภาษีเจริญ,เพชรเกษม,บริวณปากซอยเพชรเกษม 22,Type B,13.724819,100.46534,
220,TNS 220,ภาษีเจริญ,เพชรเกษม,บริวณปากซอยเพชรเกษม 33,Type B,13.713306,100.439874,
221,TNS 221,ภาษีเจริญ,เพชรเกษม,หน้าบาร์ วิสสาการ์แซ่ ซ.เพชรเกษม 27 (ติดธนาคารไทยพาณิชย์),Type B2,13.717001,100.450237,
222,TNS 224,ราษฎร์บูรณะ,ประชาอุทิศ,ปากซอยประชาอุทิศ 14,Type B2,13.664589,100.503418,
223,TNS 225,ราษฎร์บูรณะ,ประชาอุทิศ,ประชาอุทิศ 33,ลอนโค้ง,13.656403,100.499534,
224,TNS 226,ราษฎร์บูรณะ,พุทธมณฑล สาย 3,ก่อนถนนเมือง ( ขาเข้า ),Type A,13.709331,100.363918,
225,TNS 227,หนองแขม,เพชรเกษม,ข้างซ.เพชรเกษม 110 (ซ.วร.เทคโนโลยี หมู่บ้านครู),Type A,13.705819,100.348191,
226,TNS 228,หนองแขม,เพชรเกษม,ปากซอยเพชรเกษม 72/2 (ตรงข้ามห้างคาร์ฟู),Type A,13.70713,100.366783,
227,TNS 229,หนองแขม,เพชรเกษม,หน้า ปมิตรเพชรเกษม,Type A,13.70682,100.363231,
228,TNS 230,หนองแขม,เพชรเกษม,ข้างซ.เพชรเกษม 112 (ตรงข้ามตลาดหนองแขม),Type B2,13.705796,100.344115,
229,TNS 231,บางกอกน้อย,บางขุนนนท์,หน้าวัดอีเอ้ม,ลอนโค้ง,13.7750689,100.466139,
230,TNS 232,หนองแขม,พุทธมณฑล สาย 3,"เพชรเกษม 3,200 ม. (ใกล้ สีบร้านของเก่า, มาจากแยกเกล้า ซ.เพชรเกษม)",Type A,13.708543,100.364401,
231,TNS 233,หนองแขม,หนองแขม-บางบอน(มาจรัญ),ตรงข้ามหมู่บ้าน ศิริยา 4,Type B2,13.697651,100.34098,
232,TNS 234,หนองแขม,หนองแขม-บางบอน(มาจรัญ),ก่อนถึง หมู่บ้านเฉลิมพล เพชรเกษม 81,ลอนโค้ง,13.693369,100.341227,
233,TNS 235,หนองแขม,หนองแขม-บางบอน(มาจรัญ),หน้า work Place ( SC ASSET),Type A,13.690401,100.34227,
234,TNS 236,หนองแขม,หนองแขม,หมู่บ้านชนขึ้น เพชรเกษม 81,ลอนโค้ง,13.688001,100.343028,
235,TNS 237,หนองแขม,พุทธมณฑล สาย 3,ระหว่างพุทธมณฑลสาย 3 ซอย 3 ซอย 3 และ ซอย 5,Type A,13.718579,100.363739,
236,TNS 238,ธนบุรี,อิสรภาพ,ตรงข้ามวัดประดิษฐาราม,Type B2,13.735233,100.489142,
237,TNS 239,ธนบุรี,อิสรภาพ,หน้ามหาวิทยาลัยราษฎร์มนตรีธนบุรี,Type B2,13.734167,100.490478,
238,TNS 240,ธนบุรี,สมเด็จเจ้าพระยา,หน้า Big C สาขาตาวดวอง,Type A,13.69948,100.483735,
239,TNS 241,ธนบุรี,เจริญนคร,"ใกล้สีเสียงสะเทิ้นกรุงเทพ, ใกล้ส้ยงัยการเด้นพลาซ่า (1/2)",Type A,13.704264,100.489143,
240,TNS 242,ธนบุรี,เจริญนคร,"ใกล้สีเสียงสะเทิ้นกรุงเทพ, ใกล้ส้ยงัยการเด้นพลาซ่า (2/2)",Type A,13.704263,100.489085,
241,TNS 243,ธนบุรี,รัชดาภิเษก-ธนบุรี,ตรงข้ามอนุบุรีพวาต่า,Type A,13.7171095,100.478056,
242,TNS 244,ธนบุรี,อิสรภาพ,ทางอิสรวิทยาลัยราษฎร์มนตรีธนบุรีสมเด็จ,Type A,13.734191,100.490452,
243,TNS 248,ธนบุรี,สมเด็จเจ้าพระยา,หน้ากรมทหารเรือ,Type B2,13.709841,100.487675,
244,TNS 249,ธนบุรี,สมเด็จเจ้าพระยา,หน้ากรมทหารเรือ,Type B2,13.709824,100.487604,
245,TNS 250,ธนบุรี,หน้ากิจกรรมคลนวอง,หน้ากิจกรรมคลนวอง,Type B2,13.699512,100.483775,
246,TNS 251,บางขุนเทียน,บางขุนเทียน-ชายทะเล,ปากซอยบางขุนเทียน-ชายทะเล 5,Type B2,13.658733,100.431655,
247,TNS 252,บางขุนเทียน,เจริญนคร,ข้างซอยเจริญนคร 60 (เลย สน.บุคคล 50 ม.),Type B2,13.706546,100.490943,
248,TNS 253,ธนบุรี,สมเด็จเจ้าพระยา,สมเด็จเจ้าพระยาดาก้าสน,Type A,13.701554,100.488488,
249,TNS 254,ธนบุรี,รัชดาภิเษก,หน้าบริษัทชั(อ(ร)อ(ร) ซ.รัชดาภิเษก(ณ.43),Type B2,13.705115,100.484944,
250,TNS 255,บางขุนเทียน,สะแกงาม,ตรงข้ามปากซอยสะแกงาม 12/1 (หน้าโรงปูนอุดมกิจ),Type B2,13.63875,100.41749,
251,TNS 256,บางขุนเทียน,สะแกงาม,เลยปั๊มแก๊สรถยนต์ LPG (ซอยสะแกงาม 15),Type B2,13.63632,100.41916,
252,TNS 257,บางขุนเทียน,สะแกงาม,ก่อนปากซอยสะแกงาม 22,Type B2,13.63612,100.41913,
253,TNS 258,บางขุนเทียน,สะแกงาม,หน้าโรงงาน อาดาริ เล็กทริค (ตรงข้ามซ.สะแกงาม29),Type B2,13.63412,100.42283,
254,TNS 259,บางขุนเทียน,สะแกงาม,ก่อนปากซอยสะแกงาม30,Type B2,13.63402,100.42381,
255,TNS 260,บางขุนเทียน,สะแกงาม,ก่อนปากซอยสะแกงาม 31,Type B2,13.63415,100.42423,
256,TNS 261,บางขุนเทียน,สะแกงาม,ก่อนปากซอยสะแกงาม 40 (ตลาดจุดจักร),Type B2,13.63309,100.42686,
257,TNS 262,บางขุนเทียน,สะแกงาม,ตรงข้ามปากซอยสะแกงาม 52,Type B2,13.63205,100.42924,
258,TNS 263,บางขุนเทียน,บางกะดี,ปากซอยบางกะดี 7,Type B2,13.6277,100.40018,
259,TNS 264,บางขุนเทียน,บางกะดี,หน้า7-Eleven (ใกล้ตลาดกลางบางกะดี ),Type B2,13.6277,100.40014,
260,TNS 265,บางขุนเทียน,บางกะดี,หน้านบ. ทีพีเอ็น กรีน อินไลน์วัน จำกัด (ซ.บางกะดี9),Type B2,13.62568,100.40054,
261,TNS 266,บางขุนเทียน,บางกะดี,หน้าตลิ้งสินค้า บ.ควายรอง,Type B2,13.62539,100.40035,
262,TNS 267,บางขุนเทียน,บางกะดี,ระหว่างซอยบางกะดี 11-13,Type B2,13.62306,100.40077,
263,TNS 268,บางขุนเทียน,บางกะดี,ซอยบางกะดี 8,Type B2,13.62298,100.40061,
264,TNS 269,บางขุนเทียน,บางกะดี,ปากซ.บางกะดี 17,Type B2,13.6276,100.40131,
265,TNS 270,บางขุนเทียน,บางกะดี,ปากซอยบางกะดี 12,Type B2,13.62038,100.4012,
266,TNS 271,ธนบุรี,เทอดไท,วัดมหรัษฎีชัญ,ลอนโค้ง,13.72514,100.48614,
267,TNS 272,ธนบุรี,เทอดไท,วัดราษฎร์ณัฑ์ตวรวิหาร,ลอนโค้ง,13.72175,100.47997,
268,TNS 273,ธนบุรี,รัชดาภิเษก,ซอยรัชดาภิเษก 15 (ตรงข้ามเดอะเมอลล์ท่าพระ),Type B2,13.71335,100.47851,
269,TNS 274,ภาษีเจริญ,เพชรเกษม,ซอยเพชรเกษม 19/1,Type B2,13.72449,100.4652,
270,TNS 275,ภาษีเจริญ,เพชรเกษม,BTS บางหว้า (ขาออก4),Type B2,13.71957,100.45607,
271,TNS 276,บางกอกน้อย,บางขุนนนท์,ระหว่างซอยบางขุนนนท์ 14-16,หลังเล็ก,13.77033,100.46878,
272,TNS 277,หนองแขม,ทวีวัฒนา,ซอยทวีวัฒนา 1 (ตรงข้ามหมู่บ้านอัตรชัย),ลอนโค้ง,13.73611,100.3599,
