no,code,district,road,location,type,lat,long,folder_url
178,NS 182,บางเขน,เทพรักษ์ (พหลโยธิน 50),เ ร้าน ป้าศรญ์ กุ้งเผา (สุพรรณ) ตรงข้าม UM HOME Cars,Type B2,13.876766,100.637278,
179,NS 183,ดอนเมือง,สรงประภา,o หน้าวัดดอนเมือง 1,Type B,13.922924,100.60164,
180,NS 184,ดอนเมือง,สรงประภา,หน้าวัดดอนเมือง 2,Type B,13.922896,100.601612,
181,NS 185,ดอนเมือง,สรงประภา,หน้าโรงเรียนสีกัน,Type B,13.924938,100.594016,
182,NS 186,ดอนเมือง,สรงประภา,หน้ากรมทหารสื่อสาร,Type B,13.930349,100.576321,
183,NS 187,ดอนเมือง,สรงประภา,ตรงข้ามวัดสีกัน แยกนาวงประชาพัฒนาตัดกับถนนสรงประภา,Type B,13.933976,100.56711,
184,NS 188,ดอนเมือง,สรงประภา,หน้าห้างแฮบปี้ อเวนิว ดอนเมือง,Type B,13.926228,100.589062,
185,NS 189,ดอนเมือง,สรงประภา,บริเวณตรงข้ามวิทยาลัยเทคนิคดอนเมือง,Type B2,13.92926,100.579863,
186,NS 190,ดอนเมือง,สรงประภา,o บริเวณตรงข้ามแยกถนนวัดเวฬุวันวนาราม,Type B2,13.932617,100.568653,
187,NS 191,ดอนเมือง,สรงประภา,บริเวณตรงข้ามซอยสรงประภา 13,Type B2,13.9311185,100.573826,
188,NS 192,ดอนเมือง,วีภาวดี,ด้านหน้าฝ่ายช่างสนามบิน,Type B,13.930533,100.60754,
189,NS 193,ดอนเมือง,วิภาวดี,ตรงข้ามสโมสรท่าอากาศยาน,Type B,13.927244,100.606156,
190,NS 194,ดอนเมือง,วิภาวดี,ระหว่างอาคารภายใน-ต่างประเทศ (1),Type B,13.914147,100.598462,
191,NS 195,ดอนเมือง,วิภาวดี,ระหว่างอาคารภายใน-ต่างประเทศ (2),Type B,13.914978,100.59789,
192,NS 196,ดอนเมือง,วิภาวดี,ระหว่างอาคารภายใน-ต่างประเทศ (33),Type B,13.914789,100.598365,
193,NS 197,ดอนเมือง,พหลโยธิน,หน้ารพ.ภูมิพลอดุลยเดซ,Type B,13.90917,100.616686,
194,NS 198,ดอนเมือง,พหลโยธิน,ตรงข้ามหน้า รพ.ภูมิพลอดุลยเดช,ลอนโค้ง,13.909674,100.616699,
195,NS 199,ดอนเมือง,พหลโยธิน,บริเวณตรงข้ามโรงเรียนฤทธิยะวรรณาลัย (1/2) ตรงข้ามซอยซ่องทางท่าดินแดง 5,Type B2,13.9162379,100.620536,
196,NS 200,ดอนเมือง,พหลโยธิน,บริเวณหน้าพิพิธภัณฑ์กองทัพอากาศ,ลอนโค้ง,13.9198062,100.622718,
197,NS 201,ดอนเมือง,พหลโยธิน,บริเวณบริเวณตรงข้ามซอยช่องทางท่าดินแดง 2,ลอนโค้ง,13.906458,100.614802,
198,NS 202,ดอนเมือง,พหลโยธิน,บริเวณหน้ากรมพลาธิการทหารอากาศ (ตรงข้ามซอยพหลโยธิน 54/1),ลอนโค้ง,13.9023891,100.612371,
199,NS 203,สายไหม,พหลโยธิน,ใกล้สี่แยก คปอ. ( มุงหน้าไปสะพานใหม่),Type B2,13.922252,100.624534,
200,NS 204,สายไหม,พหลโยธิน,ศาลาที่พักผู้โดยสารฯ บริเวณหน้าโรงเรียนนายเรืออากาศ,ลอนโค้ง,13.9221926,100.624129,
201,NS 205,สายไหม,พหลโยธิน,ศาลาที่พักผู้โดยสารฯ บริเวณหน้าหอประชุมกานตรัตน์,ลอนโค้ง,13.9190575,100.622431,
202,NS 206,สายไหม,พหลโยธิน,ศาลาที่พักผู้โดยสารฯ บริเวณหน้าโรงเรียนฤทธิยะวรรณาลัย (1),ลอนโค้ง,13.916059,100.620682,
203,NS 207,สายไหม,พหลโยธิน,บริเวณตรงข้ามโรงเรียนฤทธิยะวรรณาลัย (2/2) ตรงข้ามซอยซ่องทางท่าดินแดง 5,Type B2,13.9162885,100.620568,
204,NS 208,สายไหม,พหลโยธิน,บริเวณหน้าอุทยานการบินกองทัพอากาศ,ลอนโค้ง,13.912905,100.619013,
205,NS 209,สายไหม,พหลโยธิน,หอประชุมกองทัพอากาศ,ลอนโค้ง,13.9127537,100.618709,
206,NS 210,สายไหม,พหลโยธิน,ตรงข้ามหอประชุมกองทัพอากาศ,ลอนโค้ง,13.9125699,100.618435,
207,NS 211,สายไหม,พหลโยธิน,ศาลาที่พักผู้โดยสารฯ บริเวณซอยช่องทางท่าดินแดง 2,ลอนโค้ง,13.9064518,100.615026,
208,NS 212,สายไหม,พหลโยธิน,ศาลาที่พักผู้โดยสารฯ บริเวณก่อนถึงแยกพลาธิการ (ซอยพหลโยธิน 54/1),ลอนโค้ง,13.9022389,100.612504,
209,NS 213,สายไหม,รัตนโกสินทร์,หน้าซอยเข้าถนนออเงิน,Type B2,13.900985,100.664838,
210,NS 214,สายไหม,รัตนโกสินทร์,ตรงข้ามตลาดออเงิน,Type B2,13.89552,100.66043,
211,NS 215,สายไหม,สุขาภิบาล 5,ก่อนถึงวัดหนองใหญ่,Type B2,13.92026,100.685391,
212,NS 216,สายไหม,สุขาภิบาล 5,ตรงข้ามวัดหนองใหญ่,Type B2,13.919533,100.68481,
213,NS 217,สายไหม,สุขาภิบาล 5,หน้าตลาดเคหะออเงิน,Type B2,13.907856,100.672259,
214,NS 218,สายไหม,สุขาภิบาล 5,a ตรงข้ามตลาดเคหะออเงิน,Type B2,13.907505,100.671709,
215,NS 219,สายไหม,สุขาภิบาล 5,หน้าตลาดออเงิน,Type B2,13.896469,100.660828,
216,NS 220,สายไหม,คลองถนน,ปากซอยถนนคลองถนน,Type B2,13.922088,100.636957,
217,NS 221,สายไหม,สายไหม,เยื่องสายไหมซอย 64/1,Type B2,13.921144,100.669513,
218,NS 222,สายไหม,สายไหม,ตรงข้ามซอยบัวหลวง,Type B2,13.921796,100.646382,
219,NS 223,สายไหม,สายไหม,ปากซ.สายไหม 56,Type B2,13.921043,100.660975,
220,NS 224,สายไหม,สายไหม,บริเวณหน้าโครงการ Prนkรล Ville เยื้องสายไหมซอย 44/1,Type B2,13.921535,100.651668,
221,NS 225,สายไหม,สายไหม,ตรงข้ามหมู่บ้านเทพทิพย์นิเวศ,Type B2,13.922115,100.638001,
222,NS 226,สายไหม,สายไหม,หน้าซอยอัมรินนิเวศน์3,Type B2,13.921763,100.64393,
223,NS 227,สายไหม,สายไหม,หน้าซอยสายไหม 28,Type B2,13.921938,100.643863,
224,NS 228,สายไหม,สายไหม,ใกล้ซอยสายไหม44,Type B2,13.921406,100.65138,
225,NS 229,สายไหม,สายไหม,ใกล้หมู่บ้านชวนชม,Type B2,13.92141,100.654707,
226,NS 230,สายไหม,สายไหม,ตรงข้ามซอยสายไหม 39,Type B2,13.921302,100.657033,
227,NS 231,สายไหม,สายไหม,หน้าซอยสายไหม 43,Type B2,13.921273,100.659414,
228,NS 232,สายไหม,สายไหม,หน้าหมู่บ้านเลิศปิยะวรรณ,Type B2,13.921361,100.670778,
229,NS 233,สายไหม,สายไหม,หน้าซอยสัตวัตร์,Type B2,13.921334,100.677181,
230,NS 234,สายไหม,สายไหม,หน้าหมู่บ้านทองสถิตย์,Type B2,13.9213,100.679671,
231,NS 235,สายไหม,สายไหม,ก่อนถึงถนนเฉลิมพงศ์,Type B2,13.921394,100.683064,
232,NS 236,สายไหม,สายไหม,หน้าตลาดวงศ์กร,Type B2,13.92142,100.684837,
233,NS 237,สายไหม,สายไหม,ตรงข้ามตลาดวงศ์กร,Type B2,13.921468,100.685076,
234,NS 238,สายไหม,สายไหม,บริเวณซอยสายไหม 13,ลอนโค้ง,13.921992,100.641433,
235,NS 239,สายไหม,สายไหม,บริเวณซอยสายไหม 55,ลอนโค้ง,13.921287,100.671705,
236,NS 240,สายไหม,สายไหม,บริเวณซอยสายไหม 56,Type B2,13.9213,100.673788,
237,NS 241,สายไหม,สายไหม,บริเวณหน้าหมู่บ้านศุภาลัยวิลล์,ลอนโค้ง,13.921114,100.66776,
238,NS 242,สายไหม,คลองถนน,บริเวณซอยวัชรพล 4,Type B2,13.8894599,100.642489,
239,NS 243,สายไหม,สายไหม,บริเวณซอยสายไหม 72,Type B2,13.9212333,100.673721,
240,NS 244,จตุจักร,จตุจักร,บริเวณซอยพหลโยธิน 25,Type B2,13.8245978,100.566624,
241,NS 245,จตุจักร,รัชดาภิเษก,บริเวณตรงข้าม สน.พหลโยธิน,Type B2,13.8263784,100.569903,
242,NS 246,จตุ่จักร,พหลโยธิน,เลยซอยพหลโยธินด8/1,Type B,13.8048148,100.555219,
243,NS 248,สายไหม,สุขาภิบาล 5,ปากซอยสุขาภิบาล 5 ซอย32,ลอนโค้ง,13.8840032,100.653628,
244,NS 249,จตุจักร,พหลโยธิน,ตรงข้ามซอยพหลโยธิน 18/2 (1),Type A,13.807608,100.55651,
245,NS 250,จตุจักร,พหลโยธิน,ตรงข้ามซอยพหลโยธิน 18/2 (2),Type A,13.8076829,100.556552,
246,NS 251,จตุจักร,พหลโยธิน,ตรงข้ามซอยพหลโยธิน 18/2 (3),Type A,13.807768,100.556603,
